image,mode,bpp,psnr_db,compression_rate,k,m,g,psnr_ok_30db
BDD/test_0.ppm,SLIC,5.048828125,34.2325,1.8607350096711799,64.0,0.05,1.0,True
BDD/test_0.ppm,slicCC,5.03125,31.0003,1.8672360248447204,164.0,0.2,2.0,True
BDD/test_1.ppm,SLIC,16.8203125,28.0253,1.2599860659544821,455.0,0.5,1.0,False
BDD/test_1.ppm,slicCC,12.896484375,23.5351,1.643343934575193,1024.0,0.05,1.0,False
BDD/test_10.ppm,SLIC,12.998046875,30.3503,1.3822689706987228,455.0,0.7,1.0,True
BDD/test_10.ppm,slicCC,11.21875,27.8363,1.6014972144846797,1024.0,0.3,1.0,False
BDD/test_100.ppm,SLIC,6.701171875,30.2476,1.7805304575925387,64.0,0.1,2.0,True
BDD/test_100.ppm,slicCC,8.431640625,26.8742,1.4151030808431782,1024.0,0.4,1.0,False
BDD/test_101.ppm,SLIC,14.857421875,29.1372,1.3511239647692914,455.0,0.05,1.0,False
BDD/test_101.ppm,slicCC,11.05859375,24.136,1.8152596255740021,1024.0,0.4,1.0,False
BDD/test_102.ppm,SLIC,17.44140625,28.2987,1.2365061590145576,455.0,0.7,1.0,False
BDD/test_102.ppm,slicCC,12.5546875,22.7111,1.7177971375233354,1024.0,0.05,1.0,False
BDD/test_103.ppm,SLIC,16.6484375,28.7155,1.2694744251525105,455.0,0.1,1.0,False
BDD/test_103.ppm,slicCC,12.646484375,23.247,1.6711969111969112,1024.0,1.0,1.0,False
BDD/test_104.ppm,SLIC,13.662109375,29.3532,1.310507505360972,455.0,0.7,1.0,False
BDD/test_104.ppm,slicCC,11.466796875,22.877,1.5614035087719298,1024.0,0.05,1.0,False
BDD/test_105.ppm,SLIC,13.515625,30.2408,1.4290462427745665,256.0,0.05,1.0,True
BDD/test_105.ppm,slicCC,11.673828125,26.6858,1.6545089509787518,1024.0,0.05,1.0,False
BDD/test_106.ppm,SLIC,12.966796875,31.6062,1.3666214791384244,256.0,1.0,1.0,True
BDD/test_106.ppm,slicCC,11.26953125,26.5088,1.5724436741767764,1024.0,0.05,1.0,False
BDD/test_107.ppm,SLIC,12.1796875,28.177,1.4732200128287363,455.0,0.05,1.0,False
BDD/test_107.ppm,slicCC,10.5,25.1002,1.708891369047619,1024.0,1.0,1.0,False
BDD/test_108.ppm,SLIC,11.291015625,31.6866,1.3828057429510465,256.0,0.05,1.0,True
BDD/test_108.ppm,slicCC,10.0,25.166,1.561328125,1024.0,0.7,1.0,False
BDD/test_109.ppm,SLIC,14.99609375,26.5293,1.4045324303203959,455.0,0.7,1.0,False
BDD/test_109.ppm,slicCC,12.236328125,22.3657,1.7213088587390264,1024.0,0.4,1.0,False
BDD/test_11.ppm,SLIC,16.357421875,26.4888,1.3066268656716418,1024.0,0.7,1.0,False
BDD/test_11.ppm,slicCC,13.107421875,23.3529,1.6306064669944866,1024.0,0.7,1.0,False
BDD/test_110.ppm,SLIC,15.6015625,28.383,1.3140961442163246,455.0,0.4,1.0,False
BDD/test_110.ppm,slicCC,12.05859375,23.6614,1.7001943634596697,1024.0,1.0,1.0,False
BDD/test_111.ppm,SLIC,13.525390625,29.9837,1.3295306859205775,455.0,0.5,1.0,False
BDD/test_111.ppm,slicCC,11.064453125,25.7763,1.6252427184466018,1024.0,0.7,1.0,False
BDD/test_112.ppm,SLIC,16.025390625,28.4262,1.2850700792199878,455.0,1.0,1.0,False
BDD/test_112.ppm,slicCC,12.55859375,24.2631,1.6398133748055987,1024.0,1.0,1.0,False
BDD/test_113.ppm,SLIC,13.6328125,29.9209,1.3349570200573067,455.0,1.0,1.0,False
BDD/test_113.ppm,slicCC,11.607421875,25.0296,1.5678950025239777,1024.0,1.0,1.0,False
BDD/test_114.ppm,SLIC,5.89453125,30.9088,1.648442677269715,64.0,0.05,1.0,True
BDD/test_114.ppm,slicCC,6.216796875,31.102,1.5629908890983348,455.0,0.4,1.0,True
BDD/test_115.ppm,SLIC,14.849609375,28.9069,1.2873865579376562,455.0,1.0,1.0,False
BDD/test_115.ppm,slicCC,11.369140625,23.2908,1.681498024394434,1024.0,1.0,1.0,False
BDD/test_116.ppm,SLIC,11.99609375,31.886,1.23510257245197,256.0,0.3,1.0,True
BDD/test_116.ppm,slicCC,10.19921875,25.322,1.4527001148985064,1024.0,0.4,1.0,False
BDD/test_117.ppm,SLIC,8.599609375,32.4784,1.6684079037020214,64.0,1.0,2.0,True
BDD/test_117.ppm,slicCC,9.791015625,31.5497,1.4653899860363055,1024.0,0.05,1.0,True
BDD/test_118.ppm,SLIC,16.578125,30.0597,1.2045240339302545,455.0,0.2,1.0,True
BDD/test_118.ppm,slicCC,12.216796875,24.4261,1.6345323741007194,1024.0,0.7,1.0,False
BDD/test_119.ppm,SLIC,16.349609375,26.9647,1.3295902520606857,455.0,0.4,1.0,False
BDD/test_119.ppm,slicCC,12.759765625,22.6384,1.703658349915812,1024.0,0.05,1.0,False
BDD/test_12.ppm,SLIC,17.244140625,28.8527,1.2465737909162986,455.0,0.7,1.0,False
BDD/test_12.ppm,slicCC,12.66015625,22.8876,1.6979327368096266,1024.0,1.0,1.0,False
BDD/test_120.ppm,SLIC,11.416015625,28.6329,1.261933276304534,455.0,0.7,1.0,False
BDD/test_120.ppm,slicCC,9.908203125,22.8748,1.4539720086733687,1024.0,1.0,1.0,False
BDD/test_121.ppm,SLIC,15.578125,26.5756,1.3308676028084252,455.0,0.5,1.0,False
BDD/test_121.ppm,slicCC,12.193359375,20.7252,1.700304340861765,1024.0,0.7,1.0,False
BDD/test_122.ppm,SLIC,11.501953125,30.9021,1.4927831550348107,455.0,0.05,1.0,True
BDD/test_122.ppm,slicCC,10.1953125,28.359,1.6840996168582376,1024.0,1.0,1.0,False
BDD/test_123.ppm,SLIC,13.998046875,30.8923,1.2951025533696108,1024.0,1.0,1.0,True
BDD/test_123.ppm,slicCC,11.6328125,28.0954,1.558428475486904,1024.0,1.0,1.0,False
BDD/test_124.ppm,SLIC,14.40234375,28.4614,1.3708977488473013,455.0,0.4,1.0,False
BDD/test_124.ppm,slicCC,11.580078125,24.458,1.705009276437848,1024.0,0.7,1.0,False
BDD/test_125.ppm,SLIC,16.236328125,29.1009,1.2875015036689523,455.0,0.7,1.0,False
BDD/test_125.ppm,slicCC,12.322265625,23.2523,1.696465366936123,1024.0,0.05,1.0,False
BDD/test_126.ppm,SLIC,6.19140625,31.4234,2.273501577287066,64.0,1.0,3.0,True
BDD/test_126.ppm,slicCC,7.990234375,31.3851,1.7616719628452702,455.0,0.3,1.0,True
BDD/test_127.ppm,SLIC,14.859375,27.7341,1.3631703470031546,455.0,1.0,1.0,False
BDD/test_127.ppm,slicCC,12.302734375,24.978,1.646451817748849,1024.0,1.0,1.0,False
BDD/test_128.ppm,SLIC,12.34375,30.5909,1.441772151898734,256.0,0.5,1.0,True
BDD/test_128.ppm,slicCC,11.052734375,26.9621,1.610178476762679,1024.0,0.7,1.0,False
BDD/test_129.ppm,SLIC,13.78515625,30.3213,1.3064607537546047,256.0,0.7,1.0,True
BDD/test_129.ppm,slicCC,11.7265625,26.1959,1.53580946035976,1024.0,0.05,1.0,False
BDD/test_13.ppm,SLIC,14.53515625,29.6371,1.3285407148615964,455.0,0.7,1.0,False
BDD/test_13.ppm,slicCC,12.103515625,25.0434,1.5954494110053252,1024.0,0.5,1.0,False
BDD/test_130.ppm,SLIC,15.970703125,29.2333,1.233337409807998,455.0,0.2,1.0,False
BDD/test_130.ppm,slicCC,11.876953125,23.4362,1.658444334813353,1024.0,0.05,1.0,False
BDD/test_131.ppm,SLIC,14.794921875,30.5444,1.2528052805280527,455.0,0.7,1.0,True
BDD/test_131.ppm,slicCC,11.525390625,23.8966,1.6082019996610744,1024.0,0.05,1.0,False
BDD/test_132.ppm,SLIC,12.00390625,30.7004,1.4463065408395706,256.0,1.0,1.0,True
BDD/test_132.ppm,slicCC,11.20703125,27.6893,1.5491460439177414,1024.0,0.05,1.0,False
BDD/test_133.ppm,SLIC,14.34765625,29.3221,1.3856520555404301,455.0,1.0,1.0,False
BDD/test_133.ppm,slicCC,11.904296875,24.5568,1.6700574241181296,1024.0,0.05,1.0,False
BDD/test_134.ppm,SLIC,14.962890625,28.85,1.3143192794674325,455.0,0.4,1.0,False
BDD/test_134.ppm,slicCC,11.73828125,22.152,1.6753743760399336,1024.0,0.7,1.0,False
BDD/test_135.ppm,SLIC,17.09765625,27.8418,1.261137765592872,455.0,1.0,1.0,False
BDD/test_135.ppm,slicCC,12.484375,21.3956,1.7271589486858574,1024.0,0.05,1.0,False
BDD/test_136.ppm,SLIC,9.5625,31.3545,1.2914624183006536,455.0,0.7,1.0,True
BDD/test_136.ppm,slicCC,8.177734375,26.0837,1.510150465727251,1024.0,0.05,1.0,False
BDD/test_137.ppm,SLIC,12.830078125,31.73,1.327447100015223,256.0,0.1,1.0,True
BDD/test_137.ppm,slicCC,11.0,27.7173,1.5482954545454546,1024.0,1.0,1.0,False
BDD/test_138.ppm,SLIC,14.568359375,28.8118,1.367475532913259,455.0,1.0,1.0,False
BDD/test_138.ppm,slicCC,12.080078125,24.6245,1.649151172190784,1024.0,1.0,1.0,False
BDD/test_139.ppm,SLIC,16.337890625,25.5481,1.3635385534967126,455.0,1.0,1.0,False
BDD/test_139.ppm,slicCC,12.82421875,20.1505,1.7371306731647882,1024.0,1.0,1.0,False
BDD/test_14.ppm,SLIC,15.8125,30.1103,1.2840909090909092,455.0,0.4,1.0,True
BDD/test_14.ppm,slicCC,12.033203125,24.5263,1.6873884109722448,1024.0,1.0,1.0,False
BDD/test_140.ppm,SLIC,10.919921875,31.2637,1.4881058844571633,256.0,1.0,1.0,True
BDD/test_140.ppm,slicCC,10.994140625,30.058,1.4780600461893765,1024.0,0.7,1.0,True
BDD/test_141.ppm,SLIC,17.005859375,28.1677,1.2690938325485241,455.0,0.5,1.0,False
BDD/test_141.ppm,slicCC,13.107421875,22.1745,1.6465504395768142,1024.0,0.7,1.0,False
BDD/test_142.ppm,SLIC,13.630859375,29.3273,1.4013468978363663,455.0,0.4,1.0,False
BDD/test_142.ppm,slicCC,9.40625,22.1043,2.030730897009967,1024.0,0.7,1.0,False
BDD/test_143.ppm,SLIC,15.35546875,30.5271,1.1868481302467566,455.0,0.2,1.0,True
BDD/test_143.ppm,slicCC,11.578125,22.6075,1.574055330634278,1024.0,0.05,1.0,False
BDD/test_144.ppm,SLIC,5.552734375,31.1392,2.3320436158986984,64.0,0.05,2.0,True
BDD/test_144.ppm,slicCC,7.873046875,30.072,1.644753162986852,455.0,0.7,1.0,True
BDD/test_145.ppm,SLIC,16.16015625,27.5739,1.3046893884457336,455.0,0.3,1.0,False
BDD/test_145.ppm,slicCC,12.71484375,22.5319,1.6582181259600615,1024.0,0.7,1.0,False
BDD/test_146.ppm,SLIC,11.720703125,30.8286,1.484252624562573,256.0,0.7,1.0,True
BDD/test_146.ppm,slicCC,11.1953125,28.5981,1.55390788555478,1024.0,1.0,1.0,False
BDD/test_147.ppm,SLIC,6.326171875,32.5886,2.163939487496141,64.0,0.05,2.0,True
BDD/test_147.ppm,slicCC,7.32421875,31.2524,1.8690666666666667,455.0,0.7,2.0,True
BDD/test_148.ppm,SLIC,13.48828125,29.5011,1.267593397046047,455.0,1.0,1.0,False
BDD/test_148.ppm,slicCC,10.787109375,25.4943,1.5850081477457902,1024.0,1.0,1.0,False
BDD/test_149.ppm,SLIC,6.43359375,30.1999,2.178809957498482,64.0,0.4,3.0,True
BDD/test_149.ppm,slicCC,10.36328125,30.6636,1.3526196758386733,1024.0,0.1,1.0,True
BDD/test_15.ppm,SLIC,14.455078125,29.5354,1.3626536954465613,455.0,0.5,1.0,False
BDD/test_15.ppm,slicCC,12.39453125,24.7103,1.5891900409706903,1024.0,0.3,1.0,False
BDD/test_150.ppm,SLIC,17.439453125,25.7696,1.2948818456714077,455.0,0.05,1.0,False
BDD/test_150.ppm,slicCC,13.17578125,19.4408,1.713904536021346,1024.0,0.05,1.0,False
BDD/test_151.ppm,SLIC,16.06640625,26.0718,1.3401410162898129,455.0,0.05,1.0,False
BDD/test_151.ppm,slicCC,12.76953125,22.3645,1.686142551238911,1024.0,1.0,1.0,False
BDD/test_152.ppm,SLIC,14.396484375,29.5154,1.3460860127526795,455.0,0.7,1.0,False
BDD/test_152.ppm,slicCC,12.05859375,26.232,1.6070618723679948,1024.0,0.1,1.0,False
BDD/test_153.ppm,SLIC,11.99609375,31.3398,1.404265711494627,256.0,0.05,1.0,True
BDD/test_153.ppm,slicCC,11.041015625,28.5613,1.5257385459048294,1024.0,0.4,1.0,False
BDD/test_154.ppm,SLIC,15.734375,29.3636,1.2959285004965244,455.0,1.0,1.0,False
BDD/test_154.ppm,slicCC,12.357421875,25.09,1.6500711237553343,1024.0,1.0,1.0,False
BDD/test_155.ppm,SLIC,14.24609375,28.798,1.3578283520701946,455.0,0.5,1.0,False
BDD/test_155.ppm,slicCC,11.9296875,25.5338,1.6214800261951539,1024.0,0.7,1.0,False
BDD/test_156.ppm,SLIC,14.958984375,28.6867,1.2423292858075468,455.0,0.5,1.0,False
BDD/test_156.ppm,slicCC,11.466796875,23.4291,1.6206779083631409,1024.0,0.3,1.0,False
BDD/test_157.ppm,SLIC,15.833984375,23.1581,1.4351794745281856,455.0,0.4,1.0,False
BDD/test_157.ppm,slicCC,12.560546875,19.8225,1.8092054112890685,1024.0,0.4,1.0,False
BDD/test_158.ppm,SLIC,15.890625,28.4833,1.2976892822025565,455.0,1.0,1.0,False
BDD/test_158.ppm,slicCC,11.83203125,24.0004,1.7428194123473093,1024.0,1.0,1.0,False
BDD/test_159.ppm,SLIC,8.244140625,33.4452,1.554607912816868,64.0,0.05,1.0,True
BDD/test_159.ppm,slicCC,8.890625,30.5979,1.4415641476274166,1024.0,0.7,1.0,True
