image,mode,k,m,g,width,height,original_size_bytes,compressed_size_bytes,compression_rate,bpp,psnr_db,psnr_ok_30db,output_image
BDD/test_0.ppm,SLIC,64.0,0.05,1.0,64,64,4810,2585,1.8607350096711799,5.048828125,34.2325,True,evaluation_results_auto/generated/test_0_SLIC_k64_m0.05_g1_clean.ppm
BDD/test_0.ppm,slicCC,164.0,0.2,2.0,64,64,4810,2576,1.8672360248447204,5.03125,31.0003,True,evaluation_results_auto/generated/test_0_slicCC_k164_m0.2_g2_clean.ppm
BDD/test_1.ppm,SLIC,455.0,0.5,1.0,64,64,10851,8612,1.2599860659544821,16.8203125,28.0253,False,evaluation_results_auto/generated/test_1_SLIC_k455_m0.5_g1_clean.ppm
BDD/test_1.ppm,slicCC,1024.0,0.05,1.0,64,64,10851,6603,1.643343934575193,12.896484375,23.5351,False,evaluation_results_auto/generated/test_1_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_10.ppm,SLIC,455.0,0.7,1.0,64,64,9199,6655,1.3822689706987228,12.998046875,30.3503,True,evaluation_results_auto/generated/test_10_SLIC_k455_m0.7_g1_clean.ppm
BDD/test_10.ppm,slicCC,1024.0,0.3,1.0,64,64,9199,5744,1.6014972144846797,11.21875,27.8363,False,evaluation_results_auto/generated/test_10_slicCC_k1024_m0.3_g1_clean.ppm
BDD/test_100.ppm,SLIC,64.0,0.1,2.0,64,64,6109,3431,1.7805304575925387,6.701171875,30.2476,True,evaluation_results_auto/generated/test_100_SLIC_k64_m0.1_g2_clean.ppm
BDD/test_100.ppm,slicCC,1024.0,0.4,1.0,64,64,6109,4317,1.4151030808431782,8.431640625,26.8742,False,evaluation_results_auto/generated/test_100_slicCC_k1024_m0.4_g1_clean.ppm
BDD/test_101.ppm,SLIC,455.0,0.05,1.0,64,64,10278,7607,1.3511239647692914,14.857421875,29.1372,False,evaluation_results_auto/generated/test_101_SLIC_k455_m0.05_g1_clean.ppm
BDD/test_101.ppm,slicCC,1024.0,0.4,1.0,64,64,10278,5662,1.8152596255740021,11.05859375,24.136,False,evaluation_results_auto/generated/test_101_slicCC_k1024_m0.4_g1_clean.ppm
BDD/test_102.ppm,SLIC,455.0,0.7,1.0,64,64,11042,8930,1.2365061590145576,17.44140625,28.2987,False,evaluation_results_auto/generated/test_102_SLIC_k455_m0.7_g1_clean.ppm
BDD/test_102.ppm,slicCC,1024.0,0.05,1.0,64,64,11042,6428,1.7177971375233354,12.5546875,22.7111,False,evaluation_results_auto/generated/test_102_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_103.ppm,SLIC,455.0,0.1,1.0,64,64,10821,8524,1.2694744251525105,16.6484375,28.7155,False,evaluation_results_auto/generated/test_103_SLIC_k455_m0.1_g1_clean.ppm
BDD/test_103.ppm,slicCC,1024.0,1.0,1.0,64,64,10821,6475,1.6711969111969112,12.646484375,23.247,False,evaluation_results_auto/generated/test_103_slicCC_k1024_m1_g1_clean.ppm
BDD/test_104.ppm,SLIC,455.0,0.7,1.0,64,64,9167,6995,1.310507505360972,13.662109375,29.3532,False,evaluation_results_auto/generated/test_104_SLIC_k455_m0.7_g1_clean.ppm
BDD/test_104.ppm,slicCC,1024.0,0.05,1.0,64,64,9167,5871,1.5614035087719298,11.466796875,22.877,False,evaluation_results_auto/generated/test_104_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_105.ppm,SLIC,256.0,0.05,1.0,64,64,9889,6920,1.4290462427745665,13.515625,30.2408,True,evaluation_results_auto/generated/test_105_SLIC_k256_m0.05_g1_clean.ppm
BDD/test_105.ppm,slicCC,1024.0,0.05,1.0,64,64,9889,5977,1.6545089509787518,11.673828125,26.6858,False,evaluation_results_auto/generated/test_105_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_106.ppm,SLIC,256.0,1.0,1.0,64,64,9073,6639,1.3666214791384244,12.966796875,31.6062,True,evaluation_results_auto/generated/test_106_SLIC_k256_m1_g1_clean.ppm
BDD/test_106.ppm,slicCC,1024.0,0.05,1.0,64,64,9073,5770,1.5724436741767764,11.26953125,26.5088,False,evaluation_results_auto/generated/test_106_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_107.ppm,SLIC,455.0,0.05,1.0,64,64,9187,6236,1.4732200128287363,12.1796875,28.177,False,evaluation_results_auto/generated/test_107_SLIC_k455_m0.05_g1_clean.ppm
BDD/test_107.ppm,slicCC,1024.0,1.0,1.0,64,64,9187,5376,1.708891369047619,10.5,25.1002,False,evaluation_results_auto/generated/test_107_slicCC_k1024_m1_g1_clean.ppm
BDD/test_108.ppm,SLIC,256.0,0.05,1.0,64,64,7994,5781,1.3828057429510465,11.291015625,31.6866,True,evaluation_results_auto/generated/test_108_SLIC_k256_m0.05_g1_clean.ppm
BDD/test_108.ppm,slicCC,1024.0,0.7,1.0,64,64,7994,5120,1.561328125,10.0,25.166,False,evaluation_results_auto/generated/test_108_slicCC_k1024_m0.7_g1_clean.ppm
BDD/test_109.ppm,SLIC,455.0,0.7,1.0,64,64,10784,7678,1.4045324303203959,14.99609375,26.5293,False,evaluation_results_auto/generated/test_109_SLIC_k455_m0.7_g1_clean.ppm
BDD/test_109.ppm,slicCC,1024.0,0.4,1.0,64,64,10784,6265,1.7213088587390264,12.236328125,22.3657,False,evaluation_results_auto/generated/test_109_slicCC_k1024_m0.4_g1_clean.ppm
BDD/test_11.ppm,SLIC,1024.0,0.7,1.0,64,64,10943,8375,1.3066268656716418,16.357421875,26.4888,False,evaluation_results_auto/generated/test_11_SLIC_k1024_m0.7_g1_clean.ppm
BDD/test_11.ppm,slicCC,1024.0,0.7,1.0,64,64,10943,6711,1.6306064669944866,13.107421875,23.3529,False,evaluation_results_auto/generated/test_11_slicCC_k1024_m0.7_g1_clean.ppm
BDD/test_110.ppm,SLIC,455.0,0.4,1.0,64,64,10497,7988,1.3140961442163246,15.6015625,28.383,False,evaluation_results_auto/generated/test_110_SLIC_k455_m0.4_g1_clean.ppm
