mode,k,m,g,num_images,avg_psnr_db,min_psnr_db,avg_compression_rate,avg_bpp,all_psnr_ge_30db
SLIC,64.0,0.05,1.0,27,32.10123703703704,30.1476,1.9043597559570284,6.753472222222222,True
SLIC,64.0,0.05,2.0,22,32.15199090909091,29.9904,1.9742693532465785,6.524591619318182,False
SLIC,64.0,0.05,3.0,10,31.32087,30.0562,2.1328893244160883,6.194140625,True
SLIC,64.0,0.1,1.0,3,32.89543333333334,31.398,1.8450640412180181,5.494140625,True
SLIC,64.0,0.1,2.0,2,31.7375,30.2476,1.6323682145167366,5.607421875,True
SLIC,64.0,0.1,3.0,1,30.4774,30.4774,2.2471295790049206,7.14453125,True
SLIC,64.0,0.2,3.0,1,35.1982,35.1982,1.9139896373056995,3.76953125,True
SLIC,64.0,0.3,2.0,1,32.3234,32.3234,1.6776193428394297,6.30078125,True
SLIC,64.0,0.4,2.0,1,30.395,30.395,2.2469823584029713,6.310546875,True
SLIC,64.0,0.4,3.0,1,30.1999,30.1999,2.178809957498482,6.43359375,True
SLIC,64.0,0.5,3.0,2,30.98975,30.4731,2.0242083321536763,7.490234375,True
SLIC,64.0,0.7,1.0,2,31.44295,31.0733,1.9492311256067827,6.7392578125,True
SLIC,64.0,0.7,2.0,6,31.373566666666665,30.315,2.020126307910458,6.915690104166667,True
SLIC,64.0,0.7,3.0,2,30.72035,30.5608,2.0613704613578,6.65625,True
SLIC,64.0,0.7,4.0,2,30.7363,30.1625,2.1535366893975594,7.484375,True
SLIC,64.0,1.0,1.0,1,31.1451,31.1451,2.195897435897436,5.712890625,True
SLIC,64.0,1.0,2.0,4,32.659275,30.8947,1.879034101744527,7.27783203125,True
SLIC,64.0,1.0,3.0,10,31.26185,30.2139,2.0710559880588275,6.99375,True
SLIC,256.0,0.05,1.0,30,31.19409,30.0729,1.4264853388230478,11.209505208333333,True
SLIC,256.0,0.1,1.0,12,31.7068,29.6444,1.3821878022557958,10.96240234375,False
SLIC,256.0,0.2,1.0,23,31.283104347826086,30.2665,1.418680957127208,10.981997282608695,True
SLIC,256.0,0.3,1.0,23,31.434243478260868,30.2298,1.3900565211024156,11.501698369565217,True
SLIC,256.0,0.4,1.0,23,31.447378260869566,30.147,1.403113651788768,11.310631793478262,True
SLIC,256.0,0.5,1.0,19,31.200905263157896,30.4214,1.4108758379553312,11.763980263157896,True
SLIC,256.0,0.7,1.0,47,31.263455319148935,29.4257,1.4132523844436855,11.88543051861702,False
SLIC,256.0,1.0,1.0,54,30.96385925925926,29.9866,1.424036133911358,11.718135127314815,False
SLIC,455.0,0.05,1.0,65,28.471666153846154,23.991,1.3118974598901307,15.25555889423077,False
SLIC,455.0,0.1,1.0,17,29.104241176470588,24.273,1.3029989091028755,14.863740808823529,False
SLIC,455.0,0.2,1.0,41,29.120770731707317,26.5946,1.281531841166663,15.391577743902438,False
SLIC,455.0,0.3,1.0,48,28.531729166666665,25.3279,1.3043567032587482,15.3260498046875,False
SLIC,455.0,0.4,1.0,107,28.167751401869157,23.1581,1.3156296262419018,15.443122079439252,False
SLIC,455.0,0.5,1.0,78,28.653739743589743,25.2432,1.301880091270948,15.328350360576923,False
SLIC,455.0,0.7,1.0,107,28.812082242990655,25.2024,1.3079112145525642,15.07635441004673,False
SLIC,455.0,1.0,1.0,165,28.59883272727273,24.5423,1.3037528689237474,15.532717803030303,False
SLIC,1024.0,0.05,1.0,13,29.360430769230767,27.0291,1.2791110720770231,13.891977163461538,False
SLIC,1024.0,0.2,1.0,2,29.1869,27.3167,1.3450926125528877,12.755859375,False
SLIC,1024.0,0.3,1.0,1,30.8428,30.8428,1.275625555696685,15.376953125,True
SLIC,1024.0,0.4,1.0,8,29.200775,24.423,1.310474953521199,13.73291015625,False
SLIC,1024.0,0.5,1.0,3,29.7734,29.0501,1.3132106076742636,14.495442708333334,False
SLIC,1024.0,0.7,1.0,3,28.7462,26.4888,1.2705532673506559,15.780598958333334,False
SLIC,1024.0,1.0,1.0,13,29.162115384615383,26.0286,1.3054162211890807,14.270282451923077,False
slicCC,64.0,0.05,2.0,2,32.8801,32.5692,2.196453097703229,2.970703125,True
slicCC,64.0,0.5,6.0,1,33.8139,33.8139,2.4128020901371654,2.990234375,True
slicCC,64.0,1.0,5.0,1,32.0135,32.0135,3.0364963503649633,3.478515625,True
slicCC,114.0,0.05,1.0,1,30.3603,30.3603,2.5454983148772268,4.056640625,True
slicCC,114.0,0.05,2.0,2,31.1107,30.8402,2.444589711834327,4.5732421875,True
slicCC,164.0,0.2,2.0,1,31.0003,31.0003,1.8672360248447204,5.03125,True
slicCC,164.0,0.4,1.0,1,32.4655,32.4655,2.017741237559498,4.513671875,True
slicCC,164.0,0.5,2.0,1,30.1225,30.1225,2.1528783835303087,5.123046875,True
slicCC,256.0,0.05,1.0,1,30.1106,30.1106,1.9100057504312824,6.79296875,True
slicCC,256.0,0.05,2.0,2,30.322049999999997,29.987,2.0546687073793466,6.05078125,False
slicCC,256.0,0.3,2.0,1,30.7377,30.7377,2.185207456404089,6.49609375,True
slicCC,256.0,0.4,1.0,1,31.0013,31.0013,2.052695705147731,6.412109375,True
slicCC,256.0,0.7,3.0,1,30.1484,30.1484,2.349251315256981,4.826171875,True
slicCC,256.0,1.0,3.0,1,30.5231,30.5231,1.7932728647014362,5.16796875,True
slicCC,455.0,0.05,1.0,3,31.378533333333333,31.0177,1.6236777594650746,8.120442708333334,True
slicCC,455.0,0.1,1.0,1,31.0617,31.0617,1.639119170984456,7.5390625,True
slicCC,455.0,0.2,1.0,2,31.98785,31.4371,1.6189438012584159,8.8876953125,True
slicCC,455.0,0.2,2.0,1,30.4932,30.4932,1.9104247104247105,7.587890625,True
slicCC,455.0,0.3,1.0,2,32.19905,31.3851,1.6822134530955966,8.390625,True
slicCC,455.0,0.4,1.0,1,31.102,31.102,1.5629908890983348,6.216796875,True
slicCC,455.0,0.5,1.0,4,29.3819,23.642,1.6685660195820067,8.72265625,False
slicCC,455.0,0.7,1.0,6,30.7057,30.0195,1.6408917081637784,8.4541015625,True
slicCC,455.0,0.7,2.0,1,31.2524,31.2524,1.8690666666666667,7.32421875,True
slicCC,455.0,1.0,1.0,2,30.737949999999998,30.6673,1.6182281380294055,9.0439453125,True
slicCC,1024.0,0.05,1.0,260,24.982364615384615,16.5619,1.6152857163795005,11.361861478365384,False
slicCC,1024.0,0.1,1.0,32,26.118290625,19.5023,1.5515073454808332,10.86126708984375,False
slicCC,1024.0,0.2,1.0,41,25.9756756097561,19.7011,1.5940011851641314,10.80154344512195,False
slicCC,1024.0,0.3,1.0,65,25.807952307692307,21.1809,1.600247559711433,11.387950721153846,False
slicCC,1024.0,0.4,1.0,95,24.139043157894736,19.3326,1.6462403276021582,11.790378289473685,False
slicCC,1024.0,0.5,1.0,81,24.913196296296295,17.5785,1.6303380541897614,11.414520640432098,False
slicCC,1024.0,0.5,2.0,1,30.5131,30.5131,1.362339514978602,5.4765625,True
slicCC,1024.0,0.7,1.0,106,25.30137641509434,18.9701,1.6155378737028654,11.376418779481131,False
slicCC,1024.0,1.0,1.0,279,24.776106093189963,17.9518,1.6321096104262043,11.594639056899641,False
